"","Real Monthly Commodity Trade Weighted Exchange Rate Indexes","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78"
"1","Updated: 5/29/2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Note:","Commodity trade-weighted indexes are derived by creating a geometric index of real country exchange rates times trade weights for different commodities taken from the weights table.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,"Commodity definitions used for the aggregated commodities are taken from FAS GATS and FAOSTAT.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"Cells in blue are based on analyst projections.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Source: ERS researchers derived weights from real monthly exchange rates and weight tables.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Contact: Chang Hong (202-694-5222, chang.hong@usda.gov)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"U.S. markets (U.S. exports weights)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US competitors (country export weights)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. suppliers (U.S. import weights)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Month","Year","U.S. merchandise exports to the World","U.S. agricultural exports to the World","Bulk","Corn","Cotton","Rice","Soybeans","Tobacco","Wheat","Intermediates","Soymeal","Soybean & Vegetable Oil","Feeds & Fodders","Distillers Grain","Hides & Skins","Consumer Oriented","Tree Nuts","Dairy Products","Prepared Food","Fresh & Processed Fruit","Fresh & Processed Vegetables","Juices & Beverages","Beef & Beef Products","Pork & Pork Products","Poultry Meat & Products","Wine & Beer","Agricultural Related 5/",NA,"Competitor merchandise exports to the World","Competitor agricultural exports to the World","Bulk","Corn","Cotton","Rice","Soybeans","Tobacco","Wheat","Intermediates","Soymeal","Soybean & Vegetable  Oil","Feeds & Fodders","Hides & Skins","Consumer Oriented","Tree Nuts","Dairy Products","Prepared Food 4/","Fresh & Processed Fruit","Fresh & Processed Vegetables","Juices & Beverages","Beef & Beef Products","Pork & Pork Products","Poultry Meat & Products","Wine & Beer",NA,"U.S. agricultural imports","Bulk","Coffee, Unroasted","Rubber & Allied Products","Cocoa Beans","Raw Beet & Cane Sugar","Intermediates","Oils (ex. Soybean)","Live Animals","Sugars, Sweeteners, Beverage Bases","Cocoa Paste &  Butter","Consumer-Oriented","Wine & Beer","Fresh & Processed Fruit","Fresh & Processed Vegetables","Prepared & Snack Foods","Chocolate & Cocoa Products","Beef & Beef Products","Agricultural Related Products","Fish Products","Forest Products","Distilled Spirits"
"12","1","1970","104.9681396484375","99.069267272949219","90.123947143554688","127.31697082519531","77.988456726074219","91.680740356445312","70.438003540039062","101.62385559082031","101.91033172607422","98.913002014160156","111.41524505615234","86.627967834472656","102.60474395751953","88.373710632324219","73.720306396484375","107.74144744873047","104.07004547119141","91.89251708984375","106.25078582763672","107.10906219482422","112.14325714111328","111.61493682861328","113.93206787109375","126.87067413330078","89.264137268066406","106.74204254150391","104.05204772949219",NA,"102.15304565429688","104.2275390625","102.85183715820312","99.281990051269531","99.494186401367188","102.93971252441406","95.112747192382812","92.040290832519531","110.62613677978516","113.25690460205078","93.115982055664062","114.46452331542969","113.18129730224609","115.85545349121094","113.20219421386719","111.22178649902344","119.62702178955078","108.24153900146484","111.39858245849609","115.50687408447266","112.24109649658203","107.90760803222656","120.80133819580078","110.95015716552734","115.72108459472656",NA,"103.30666351318359","82.315780639648438","61.776126861572266","64.134902954101562","352.59909057617188","74.070762634277344","96.714401245117188","90.140670776367188","106.82391357421875","86.632720947265625","104.26301574707031","111.63739776611328","118.07670593261719","135.31674194335938","107.90117645263672","102.62828063964844","106.89672088623047","78.348762512207031","104.68577575683594","121.29006195068359","84.464675903320312","113.51887512207031"
"13","2","1970","105.25782012939453","99.383995056152344","90.343696594238281","127.42702484130859","78.165962219238281","91.8731689453125","70.572402954101562","102.03580474853516","102.46636962890625","99.273269653320312","112.50621795654297","86.822868347167969","102.84682464599609","88.655441284179688","73.641716003417969","108.16300964355469","104.35091400146484","92.489967346191406","106.69456481933594","107.49541473388672","112.64263916015625","112.07256317138672","114.19985961914062","127.33654022216797","89.646049499511719","107.04120635986328","104.31229400634766",NA,"102.31398773193359","104.38662719726562","102.985595703125","99.368896484375","99.66949462890625","103.038818359375","95.224014282226562","92.234420776367188","110.78807067871094","113.43785095214844","93.202255249023438","114.66089630126953","113.35332489013672","115.992919921875","113.35463714599609","111.40158081054688","119.76213073730469","108.42144775390625","111.51012420654297","115.67063140869141","112.42816925048828","107.99496459960938","120.9783935546875","111.06649017333984","115.85001373291016",NA,"103.5853271484375","82.704116821289062","62.110282897949219","64.339767456054688","354.12127685546875","74.865264892578125","97.177146911621094","91.135536193847656","107.36691284179688","87.04150390625","104.59419250488281","111.88512420654297","118.0679931640625","135.14837646484375","108.44411468505859","103.03758239746094","107.32745361328125","78.380226135253906","104.79994201660156","121.43546295166016","84.565864562988281","113.58486938476562"
"14","3","1970","105.57161712646484","99.989532470703125","90.805046081542969","127.25769805908203","78.433151245117188","92.054679870605469","70.692962646484375","103.095947265625","105.03562164306641","100.23903656005859","116.97379302978516","87.106704711914062","103.48313903808594","89.377449035644531","73.539253234863281","108.87329864501953","104.36238861083984","94.554428100585938","107.3883056640625","108.02826690673828","113.34288024902344","112.656982421875","114.47321319580078","128.11955261230469","90.506027221679688","107.43531799316406","104.51256561279297",NA,"102.42001342773438","104.50018310546875","102.90731048583984","99.280540466308594","99.540565490722656","103.02153015136719","95.058616638183594","92.282073974609375","110.68689727783203","113.35861968994141","92.875785827636719","114.61110687255859","113.26177215576172","115.87258911132812","113.29730987548828","111.43128204345703","119.64614868164062","108.44350433349609","111.43975067138672","115.60624694824219","112.46152496337891","107.77233123779297","120.80092620849609","110.85049438476562","115.72712707519531",NA,"104.12897491455078","83.230819702148438","62.286785125732422","64.9615478515625","347.666259765625","78.258659362792969","98.119277954101562","94.57135009765625","107.71494293212891","87.453941345214844","104.36738586425781","112.26719665527344","117.93816375732422","135.964599609375","108.74439239501953","103.44745635986328","107.39527893066406","78.517204284667969","105.23044586181641","122.41525268554688","84.714859008789062","113.56388092041016"
"15","4","1970","105.90217590332031","100.37289428710938","91.228713989257812","127.26655578613281","79.230941772460938","92.212844848632812","71.216056823730469","103.59822082519531","105.20534515380859","100.70096588134766","117.48444366455078","87.3487548828125","104.37183380126953","89.995048522949219","73.652961730957031","109.20945739746094","104.60424041748047","95.281150817871094","107.70839691162109","108.43711853027344","113.65981292724609","112.93744659423828","114.74614715576172","128.29475402832031","90.894699096679688","107.59341430664062","104.74027252197266",NA,"102.73606109619141","105.24858856201172","103.32685852050781","99.704620361328125","100.07110595703125","103.46928405761719","95.444801330566406","93.070449829101562","110.92012786865234","113.76240539550781","93.288459777832031","115.04509735107422","113.62676239013672","116.12374114990234","113.68035125732422","111.96688842773438","119.87863159179688","108.92891693115234","111.89997863769531","115.91738891601562","112.88299560546875","108.09605407714844","121.04495239257812","111.16915893554688","116.03097534179688",NA,"105.12979888916016","85.0025634765625","62.460514068603516","69.599006652832031","363.3311767578125","78.316642761230469","98.693687438964844","95.360847473144531","108.08953857421875","88.016822814941406","106.52964019775391","112.98651885986328","118.53043365478516","138.07496643066406","109.29907989501953","103.81885528564453","108.52358245849609","78.792098999023438","106.38346862792969","124.44256591796875","85.536918640136719","113.54067993164062"
"16","5","1970","106.17998504638672","100.71137237548828","91.364028930664062","128.17587280273438","78.399139404296875","92.02642822265625","71.390281677246094","103.85987091064453","105.32085418701172","101.00357055664062","117.87224578857422","87.512916564941406","105.11920928955078","90.149620056152344","73.854644775390625","109.787841796875","104.35263061523438","95.865623474121094","108.40347290039062","109.21983337402344","114.49832916259766","113.78127288818359","115.55813598632812","129.03218078613281","91.029144287109375","107.99756622314453","105.16856384277344",NA,"102.89621734619141","105.41487121582031","103.26132965087891","99.553115844726562","99.954879760742188","103.43607330322266","95.421180725097656","93.129524230957031","110.77497100830078","113.82586669921875","93.158164978027344","115.12155151367188","113.72386169433594","116.09335327148438","113.63462066650391","111.98075866699219","119.84468078613281","108.96987915039062","111.76691436767578","115.85036468505859","112.84724426269531","108.01398468017578","121.04330444335938","111.05405426025391","115.97812652587891",NA,"105.61990356445312","86.377693176269531","62.683647155761719","73.154571533203125","380.19308471679688","78.380844116210938","99.130439758300781","95.99847412109375","108.84496307373047","88.207511901855469","108.39627838134766","113.1636962890625","118.46818542480469","137.69821166992188","109.53952789306641","104.21192932128906","109.62461853027344","79.051826477050781","106.88788604736328","125.2830810546875","85.975677490234375","113.50279235839844"
"17","6","1970","105.65406036376953","100.35446166992188","91.511726379394531","128.76402282714844","78.529472351074219","91.885856628417969","71.482383728027344","103.95164489746094","105.35773468017578","100.72992706298828","117.40762329101562","87.049697875976562","105.06015014648438","90.01776123046875","74.336601257324219","108.88144683837891","104.37538146972656","95.568611145019531","106.81184387207031","108.10307312011719","112.61647033691406","111.80433654785156","115.24411010742188","128.98184204101562","90.759162902832031","107.00490570068359","104.44132995605469",NA,"103.10428619384766","105.54686737060547","103.57738494873047","100.25540161132812","100.07943725585938","103.66494750976562","95.635444641113281","93.481452941894531","110.93695831298828","114.12055206298828","93.87353515625","115.41970062255859","113.95279693603516","116.26970672607422","113.86722564697266","112.06134033203125","120.11420440673828","109.15781402587891","112.13603973388672","116.04921722412109","113.05621337890625","108.31037139892578","121.09909820556641","111.22576141357422","116.33496856689453",NA,"104.70539093017578","85.17431640625","62.421470642089844","72.447639465332031","355.45272827148438","78.256973266601562","98.150238037109375","95.2738037109375","106.38938140869141","87.261833190917969","106.65585327148438","112.4649658203125","118.77716827392578","137.08561706542969","108.65402221679688","103.02952575683594","107.83819580078125","78.28216552734375","105.92441558837891","124.55255889892578","84.499969482421875","113.39006042480469"
"18","7","1970","105.62619018554688","100.37147521972656","91.740989685058594","129.23103332519531","78.701171875","92.031005859375","71.591995239257812","104.21626281738281","105.85031890869141","100.76837158203125","117.33909606933594","86.979698181152344","105.28919982910156","90.089195251464844","74.4356689453125","108.68932342529297","104.42636871337891","95.570014953613281","106.37355041503906","107.79863739013672","112.09371948242188","111.21627807617188","115.28456878662109","129.14926147460938","90.866439819335938","106.74242401123047","104.25669860839844",NA,"103.2427978515625","105.80255126953125","103.84072113037109","100.74544525146484","100.26758575439453","103.81487274169922","95.850700378417969","93.766593933105469","111.13539123535156","114.29973602294922","94.243911743164062","115.59149169921875","114.12374114990234","116.40350341796875","114.01862335205078","112.19847869873047","120.25773620605469","109.29122161865234","112.43190765380859","116.14305114746094","113.19125366210938","108.45590209960938","121.05011749267578","111.33478546142578","116.5557861328125",NA,"104.85509490966797","85.422470092773438","62.726631164550781","72.812179565429688","358.88357543945312","78.508125305175781","97.970848083496094","94.83392333984375","105.65634918212891","87.263671875","106.8262939453125","112.71001434326172","119.27466583251953","138.99024963378906","108.54488372802734","102.72457885742188","107.62217712402344","78.010238647460938","106.02866363525391","124.94300079345703","84.430931091308594","113.35280609130859"
"19","8","1970","105.56574249267578","100.64117431640625","92.506134033203125","129.09132385253906","83.039955139160156","93.322532653808594","71.682365417480469","104.75938415527344","106.28148651123047","101.19300842285156","118.50767517089844","87.072502136230469","105.63470458984375","90.742355346679688","74.290237426757812","108.45793914794922","105.76431274414062","95.266395568847656","105.88421630859375","107.32183074951172","111.62165832519531","110.52234649658203","114.77142333984375","128.91133117675781","90.946128845214844","106.30680847167969","103.92726135253906",NA,"103.30193328857422","105.88126373291016","103.67185974121094","100.47969055175781","100.52870941162109","103.65938568115234","95.290077209472656","93.854972839355469","111.07948303222656","114.0537109375","93.575363159179688","115.44068908691406","113.72878265380859","116.12474060058594","113.87395477294922","112.24275207519531","119.86119842529297","109.22950744628906","112.47976684570312","116.07598876953125","113.12154388427734","107.82765960693359","120.40570068359375","110.78007507324219","116.18228149414062",NA,"104.97317504882812","85.796920776367188","62.52569580078125","72.956809997558594","372.496826171875","78.360069274902344","97.6256103515625","94.59930419921875","104.77897644042969","86.841270446777344","106.67474365234375","112.77848815917969","118.60214233398438","140.93348693847656","108.52239227294922","102.45060729980469","107.17779541015625","77.478782653808594","106.26804351806641","126.47875213623047","83.851753234863281","113.04998016357422"
"20","9","1970","105.66919708251953","100.76664733886719","92.697425842285156","128.19070434570312","84.94268798828125","93.85955810546875","71.847320556640625","105.19152069091797","105.96391296386719","101.40364074707031","118.75566864013672","87.270423889160156","105.63877105712891","91.11065673828125","74.116455078125","108.5130615234375","106.36901092529297","95.321075439453125","106.04158782958984","107.3406982421875","111.71495056152344","110.65685272216797","114.38556671142578","128.36053466796875","91.300773620605469","106.37065124511719","103.87542724609375",NA,"103.38204956054688","105.97883605957031","103.70974731445312","100.39028167724609","100.80178070068359","103.66669464111328","95.13641357421875","93.95849609375","111.22898101806641","114.16201782226562","93.268898010253906","115.59754180908203","113.819580078125","116.15827178955078","113.97822570800781","112.50084686279297","119.89159393310547","109.37502288818359","112.58605194091797","116.23944091796875","113.25823211669922","107.63408660888672","120.37149047851562","110.70178985595703","116.16809844970703",NA,"105.14981842041016","86.477226257324219","62.725578308105469","74.348724365234375","378.43167114257812","78.204811096191406","97.798713684082031","94.744461059570312","105.15409088134766","87.016044616699219","107.49095153808594","112.85830688476562","118.37067413330078","140.78306579589844","108.89512634277344","102.75279998779297","107.72808074951172","77.287338256835938","106.33415222167969","126.51447296142578","83.951446533203125","113.18080902099609"
"21","10","1970","105.91222381591797","100.98451995849609","92.801101684570312","127.96762084960938","85.162734985351562","94.064247131347656","71.912559509277344","105.53777313232422","106.35337066650391","101.66303253173828","119.40167236328125","87.569915771484375","105.65718841552734","91.325637817382812","74.083084106445312","108.86555480957031","106.43199157714844","95.630119323730469","106.6236572265625","107.75037384033203","112.26074981689453","111.27667236328125","114.52485656738281","128.2474365234375","91.755615234375","106.66735076904297","104.02994537353516",NA,"103.39012908935547","105.95697784423828","103.58686065673828","100.09475708007812","100.72769165039062","103.57865905761719","95.002082824707031","93.76629638671875","111.20057678222656","114.10572052001953","92.909393310546875","115.54360961914062","113.82077026367188","116.10719299316406","113.93781280517578","112.52466583251953","119.87057495117188","109.34285736083984","112.47491455078125","116.24777984619141","113.21672821044922","107.47665405273438","120.36665344238281","110.63813018798828","116.05414581298828",NA,"105.54102325439453","87.046516418457031","63.086727142333984","74.765586853027344","385.42572021484375","78.739616394042969","98.10205078125","95.123390197753906","105.98297119140625","87.616111755371094","108.08392333984375","113.21402740478516","118.32228851318359","141.30569458007812","109.44886779785156","103.23171997070312","108.36962890625","77.477531433105469","106.68049621582031","126.91802978515625","84.377349853515625","113.21039581298828"
"22","11","1970","106.11395263671875","101.12118530273438","92.880889892578125","128.40293884277344","85.153388977050781","94.199783325195312","71.934799194335938","105.21153259277344","106.312744140625","101.67318725585938","118.89788055419922","87.610404968261719","105.69907379150391","91.346015930175781","74.338088989257812","109.09956359863281","106.7027587890625","95.484420776367188","106.86520385742188","107.97235870361328","112.55667114257812","111.59531402587891","114.9124755859375","128.57710266113281","91.956474304199219","106.80019378662109","104.28754425048828",NA,"103.55110931396484","105.93441772460938","103.64226531982422","100.07187652587891","100.82673645019531","103.70377349853516","95.153663635253906","93.798377990722656","111.24295043945312","114.12141418457031","93.016899108886719","115.55470275878906","113.82585906982422","116.13337707519531","113.99862670898438","112.57229614257812","119.88568115234375","109.38602447509766","112.52786254882812","116.31995391845703","113.29916381835938","107.57679748535156","120.49448394775391","110.83910369873047","116.06966400146484",NA,"105.51494598388672","86.80908203125","63.367595672607422","73.454544067382812","380.76467895507812","78.400222778320312","98.061141967773438","94.8603515625","106.22891235351562","87.643890380859375","107.90863037109375","113.21433258056641","118.14575958251953","141.09336853027344","109.55454254150391","103.3712158203125","108.39458465576172","77.458488464355469","106.74169921875","126.84246826171875","84.547821044921875","113.16625213623047"
"23","12","1970","106.26343536376953","101.16738891601562","92.814048767089844","127.99459838867188","85.263984680175781","94.170852661132812","71.955497741699219","105.24702453613281","106.11763763427734","101.67276763916016","118.88703155517578","87.848976135253906","105.59712982177734","91.276809692382812","74.075767517089844","109.26122283935547","106.98152160644531","95.417572021484375","107.14765167236328","108.20272064208984","112.91124725341797","112.00186920166016","114.73333740234375","128.41644287109375","92.076774597167969","107.02474975585938","104.48199462890625",NA,"103.64826202392578","105.91436004638672","103.58187866210938","99.561508178710938","101.02558898925781","103.8031005859375","95.050559997558594","93.718147277832031","111.24073791503906","114.21699523925781","92.632003784179688","115.67704772949219","113.94622802734375","116.25646209716797","114.142822265625","112.89183807373047","120.03958129882812","109.50802612304688","112.52741241455078","116.54490661621094","113.45177459716797","107.57493591308594","120.83213043212891","111.08778381347656","116.05055236816406",NA,"105.75358581542969","87.236579895019531","63.80126953125","73.527923583984375","387.00518798828125","78.314849853515625","98.398544311523438","95.034980773925781","106.66152191162109","87.707412719726562","108.71111297607422","113.30043792724609","117.95665740966797","141.08758544921875","109.5986328125","103.58477020263672","108.93440246582031","77.350730895996094","107.06739044189453","127.16899871826172","84.928512573242188","113.28468322753906"
"24","1","1971","105.22641754150391","100.21356201171875","91.945655822753906","126.63233184814453","84.669586181640625","93.329048156738281","71.406089782714844","104.58359527587891","104.59521484375","100.70780944824219","117.83013153076172","87.201919555664062","104.35283660888672","90.319007873535156","73.415702819824219","108.21745300292969","106.26244354248047","94.438591003417969","106.05043792724609","107.08846282958984","111.73561096191406","110.82260894775391","113.52291107177734","127.24533843994141","91.420730590820312","105.98648071289062","103.52530670166016",NA,"102.70711517333984","105.03053283691406","102.81649017333984","98.875068664550781","100.31224060058594","103.08543395996094","94.390678405761719","93.025833129882812","110.37476348876953","113.22948455810547","92.043052673339844","114.65838623046875","112.94869995117188","115.30379486083984","113.18966674804688","111.93962860107422","118.98830413818359","108.57759094238281","111.62244415283203","115.57923126220703","112.49619293212891","106.73556518554688","119.79682922363281","110.1904296875","115.08872222900391",NA,"104.74721527099609","86.199859619140625","62.767704010009766","72.06988525390625","386.21994018554688","77.928413391113281","97.390022277832031","93.86944580078125","105.54099273681641","86.987449645996094","107.36431121826172","112.26109313964844","117.00506591796875","139.63006591796875","108.67129516601562","102.61292266845703","107.73220825195312","76.823013305664062","106.10189819335938","126.0931396484375","84.17498779296875","111.98603057861328"
"25","2","1971","104.90171051025391","99.833198547363281","91.552818298339844","126.62602996826172","83.369560241699219","92.795867919921875","71.179428100585938","104.08252716064453","104.15351104736328","100.25223541259766","117.24801635742188","86.814102172851562","103.86355590820312","89.825782775878906","73.251602172851562","107.88795471191406","105.66805267333984","94.113380432128906","105.66991424560547","106.79874420166016","111.34375","110.34888458251953","113.25497436523438","127.14906311035156","91.275535583496094","105.6187744140625","103.16830444335938",NA,"102.4305419921875","104.48628234863281","102.24910736083984","98.228157043457031","99.737617492675781","102.69451141357422","93.884048461914062","92.415000915527344","109.7103271484375","112.61640930175781","91.427085876464844","114.03826141357422","112.33263397216797","114.77628326416016","112.61199188232422","111.35102844238281","118.38027954101562","108.01091003417969","110.99676513671875","115.01203918457031","111.92973327636719","106.18412017822266","119.31363677978516","109.68608093261719","114.52980041503906",NA,"104.37834930419922","85.864242553710938","62.900150299072266","71.147430419921875","386.03604125976562","77.945877075195312","96.898597717285156","93.332122802734375","104.97510528564453","86.764823913574219","106.89304351806641","111.91796875","116.53180694580078","139.477783203125","108.39238739013672","102.20199584960938","107.25485992431641","76.520126342773438","105.75845336914062","125.81035614013672","83.785018920898438","111.64158630371094"
"26","3","1971","104.76533508300781","99.686965942382812","91.370857238769531","126.31224060058594","83.325271606445312","92.726188659667969","71.077995300292969","103.61940765380859","103.750732421875","100.08425140380859","116.96389007568359","86.662757873535156","103.70043182373047","89.7041015625","73.067726135253906","107.80789947509766","105.48260498046875","93.932693481445312","105.63458251953125","106.76450347900391","111.36219787597656","110.32888793945312","113.04599761962891","127.02051544189453","91.282241821289062","105.50738525390625","102.99058532714844",NA,"102.24813842773438","104.23016357421875","101.97336578369141","97.909805297851562","99.466438293457031","102.42899322509766","93.641586303710938","92.141899108886719","109.45087432861328","112.32820892333984","91.123428344726562","113.75150299072266","112.05767822265625","114.44483947753906","112.29492950439453","111.06613922119141","118.06181335449219","107.74223327636719","110.64025115966797","114.68961334228516","111.61863708496094","105.85746765136719","118.96408843994141","109.36473846435547","114.17609405517578",NA,"104.29343414306641","85.771499633789062","63.044811248779297","71.251884460449219","379.03036499023438","77.621841430664062","96.881294250488281","93.361747741699219","105.00409698486328","86.754974365234375","106.58429718017578","111.78996276855469","116.18099975585938","139.42091369628906","108.31867980957031","102.13997650146484","107.10878753662109","76.415985107421875","105.66851043701172","125.73320770263672","83.752006530761719","111.40572357177734"
"27","4","1971","104.45220947265625","99.459251403808594","91.277145385742188","126.13846588134766","83.467178344726562","92.368614196777344","71.025634765625","103.34198760986328","103.566650390625","99.878204345703125","116.76387023925781","86.497428894042969","103.5614013671875","89.596977233886719","73.175224304199219","107.46939086914062","105.22911071777344","93.86260986328125","105.24737548828125","106.44483947753906","110.86625671386719","109.84735870361328","112.87464141845703","126.50246429443359","91.193916320800781","104.89070892333984","102.56436157226562",NA,"102.04843902587891","103.93179321289062","101.63478851318359","97.56036376953125","99.238365173339844","102.09980010986328","93.349166870117188","92.001045227050781","109.00047302246094","111.92058563232422","90.848373413085938","113.35962677001953","111.61357879638672","113.92817687988281","111.83610534667969","110.67592620849609","117.50569915771484","107.36641693115234","110.19136047363281","114.20058441162109","111.20912170410156","105.37876129150391","118.39280700683594","108.91920471191406","113.63949584960938",NA,"104.01195526123047","86.019798278808594","63.296787261962891","72.037330627441406","380.47305297851562","77.478897094726562","96.557334899902344","93.481689453125","104.44168090820312","86.546424865722656","106.87873840332031","111.36020660400391","115.55878448486328","138.7391357421875","107.95166015625","101.77531433105469","106.96041870117188","75.887321472167969","105.33216857910156","125.54916381835938","83.426918029785156","110.63285064697266"
"28","5","1971","104.57651519775391","99.841163635253906","91.618309020996094","127.08075714111328","83.953521728515625","92.551559448242188","71.246437072753906","102.18429565429688","103.69026947021484","100.26998138427734","117.24443054199219","86.713050842285156","104.26481628417969","90.083663940429688","73.669036865234375","107.93157958984375","105.32240295410156","94.388595581054688","105.74712371826172","106.9615478515625","111.40357971191406","110.33240509033203","113.65275573730469","127.07275390625","91.496810913085938","104.96324920654297","102.82275390625",NA,"101.91259765625","103.77821350097656","101.31321716308594","97.288864135742188","99.025123596191406","101.93716430664062","93.090713500976562","91.915580749511719","108.49986267089844","111.42041015625","90.511337280273438","112.88894653320312","111.01001739501953","113.40595245361328","111.34153747558594","110.23477935791016","116.77803802490234","106.98433685302734","109.76082611083984","113.69411468505859","110.73311614990234","104.91993713378906","117.71981811523438","108.40107727050781","113.10762023925781",NA,"104.26712799072266","86.776832580566406","63.686336517333984","73.733818054199219","381.6182861328125","77.68414306640625","96.802406311035156","93.984901428222656","104.83113098144531","86.846389770507812","106.98527526855469","111.39063262939453","115.33186340332031","138.59962463378906","108.27150726318359","102.02202606201172","107.01952362060547","76.187713623046875","105.65313720703125","126.14299774169922","83.634933471679688","110.60871887207031"
